Taxon,Gene,Spearman_r,p_value
Prevotella,IL6,-0.5362045012503474,1.007138221861226e-05
Prevotella,TNF,-0.44228952486801903,0.0004027809349373357
Prevotella,PPARA,0.42811892192275636,0.0006441181039783872
Prevotella,MMP9,-0.4901361489302585,7.034588544804121e-05
Bacteroides,IL6,-0.1393164767991109,0.28840471924946254
Bacteroides,TNF,-0.09508196721311477,0.469895966923508
Bacteroides,PPARA,0.07829952764656851,0.5520699726185014
Bacteroides,MMP9,-0.07146429563767714,0.5873983994569534
Escherichia,IL6,0.7173103639899974,1.1341240255524526e-10
Escherichia,TNF,0.784328980272298,1.2364348392173755e-13
Escherichia,PPARA,-0.6133926090580718,1.88201395456138e-07
Escherichia,MMP9,0.7502639622117256,5.183736365033034e-12
Faecalibacterium,IL6,-0.5693248124479023,2.065447196309275e-06
Faecalibacterium,TNF,-0.70025006946374,4.750655197903882e-10
Faecalibacterium,PPARA,0.6043345373714922,3.1720677144639574e-07
Faecalibacterium,MMP9,-0.7404278966379552,1.366468974902768e-11
Akkermansia,IL6,0.5389274798555156,8.897061824875134e-06
Akkermansia,TNF,0.3963878855237567,0.0017165742483479494
Akkermansia,PPARA,-0.4683523200889137,0.000160741828552772
Akkermansia,MMP9,0.5047513198110587,3.9130067667325275e-05
